 STATE/UT NAME , AC NO. , AC NAME , CANDIDATE NAME , SEX , AGE , CATEGORY , PARTY , SYMBOL , GENERAL , POSTAL , TOTAL , % VOTES POLLED , TOTAL ELECTORS ,id
Maharashtra,1,Akkalkuwa ,1 ADV. K. C. PADAVI,MALE,61,ST,INC,Hand,82509,261,82770,41.25545786231234,278888,1
Maharashtra,1,Akkalkuwa ,2 AAMSHYA FULJI PADAVI,MALE,51,ST,SHS,Bow and Arrow,80532,142,80674,40.21073828179516,278888,1
Maharashtra,1,Akkalkuwa ,3 NAGESH DILVARSING PADVI,MALE,44,ST,IND,Gas Stove,21583,81,21664,10.798093984887453,278888,1
Maharashtra,1,Akkalkuwa ,5 ADV. KAILAS PRATAPSING VASAVE,MALE,28,ST,AAAP,Broom,4034,21,4055,2.021153577765815,278888,1
Maharashtra,1,Akkalkuwa ,6 BHARAT JALYA PAWARA,MALE,27,ST,IND,Cot,3782,2,3784,1.8860777159718483,278888,1
Maharashtra,1,Akkalkuwa ,7 DR.SANJAY RAVLYA VALVI,MALE,27,ST,BTP,Auto- Rickshaw,2808,16,2824,1.4075801981777218,278888,1
Maharashtra,2,Shahada ,1 Rajesh Udesing Padvi,MALE,50,ST,BJP,Lotus,94405,526,94931,45.12079774517213,320555,2
Maharashtra,2,Shahada ,2 Adv.Padmakar Vijaysing Valvi,MALE,51,ST,INC,Hand,86510,430,86940,41.32266757924455,320555,2
Maharashtra,2,Shahada ,3 Eng.Jelsing Bijala Pawara,MALE,59,ST,IND,Cup & Saucer,20853,160,21013,9.987499584111639,320555,2
Maharashtra,2,Shahada ,4 Mali Jaysing Devchand,MALE,66,ST,CPIM,"Hammer, Sickle and Star",4052,8,4060,1.9297219964542547,320555,2
Maharashtra,3,Nandurbar ,1 VIJAYKUMAR KRUSHNARAO GAVIT,MALE,64,ST,BJP,Lotus,120825,780,121605,64.5157011815013,339098,3
Maharashtra,3,Nandurbar ,2 UDESING KOCHARU PADVI,MALE,71,ST,INC,Hand,50955,254,51209,27.168163659417793,339098,3
Maharashtra,3,Nandurbar ,3 DIPA SHAMSHON VALVI,FEMALE,33,ST,VBA,Gas Cylinder,6683,51,6734,3.5726222750399232,339098,3
Maharashtra,3,Nandurbar ,5 ANANDA SUKALAL KOLI,MALE,52,ST,IND,Cup & Saucer,2040,7,2047,1.086005018860517,339098,3
Maharashtra,3,Nandurbar ,6 VIPUL RAMSING VASAVE,MALE,25,ST,BSP,Elephant,1921,4,1925,1.0212797563783562,339098,3
Maharashtra,3,Nandurbar ,7 Adv.PRAKASH MOHAN GANGURDE,MALE,31,ST,SWP,Bat,1437,11,1448,0.7682145907718753,339098,3
Maharashtra,4,Nawapur ,1 Naik Shirishkumar Surupsing,MALE,47,ST,INC,Hand,74395,257,74652,34.297055539986125,287977,4
Maharashtra,4,Nawapur ,2 Sharad Krushnarao Gavit,MALE,56,ST,IND,Cup & Saucer,63240,77,63317,29.089463987907916,287977,4
Maharashtra,4,Nawapur ,3 Gavit Bharat Manikrao,MALE,48,ST,BJP,Lotus,58342,237,58579,26.91270450191351,287977,4
Maharashtra,4,Nawapur ,4 Dr. Ulhas Jayant Vasave,MALE,45,ST,BTP,Auto- Rickshaw,5969,40,6009,2.7606896900254063,287977,4
